userId,movieRow,rating
1,30,2.5
7,30,3.0
31,30,4.0
32,30,4.0
36,30,3.0
39,30,3.0
73,30,3.5
88,30,3.0
96,30,2.5
110,30,4.0
111,30,3.5
150,30,2.5
161,30,3.0
165,30,3.5
186,30,3.0
242,30,4.0
254,30,3.0
288,30,3.0
310,30,1.5
311,30,3.0
325,30,4.5
338,30,3.0
341,30,4.5
386,30,2.0
394,30,2.0
452,30,2.5
457,30,1.5
461,30,2.0
468,30,1.5
485,30,4.0
487,30,5.0
496,30,4.0
511,30,4.0
516,30,4.0
525,30,4.0
590,30,3.0
596,30,3.0
601,30,3.0
607,30,3.5
619,30,3.0
639,30,3.0
641,30,4.0
1,833,3.0
19,833,5.0
35,833,1.5
61,833,2.5
73,833,3.0
99,833,3.0
102,833,5.0
128,833,4.0
175,833,4.0
185,833,3.0
188,833,5.0
213,833,1.5
214,833,3.0
268,833,4.0
294,833,3.0
303,833,3.5
311,833,3.0
363,833,4.0
387,833,5.0
420,833,3.0
442,833,4.0
452,833,4.0
466,833,5.0
468,833,3.5
471,833,3.5
472,833,4.0
514,833,3.0
518,833,4.0
529,833,3.0
530,833,4.0
547,833,5.0
551,833,4.0
564,833,5.0
575,833,4.0
577,833,4.5
582,833,4.0
602,833,3.0
603,833,4.0
605,833,4.0
607,833,3.0
646,833,4.0
665,833,4.0
1,859,3.0
19,859,3.0
23,859,3.5
30,859,3.0
70,859,5.0
73,859,4.0
90,859,4.0
102,859,2.0
105,859,4.0
119,859,4.0
141,859,3.0
150,859,3.0
165,859,2.5
212,859,4.0
233,859,3.0
252,859,3.0
292,859,4.0
306,859,3.0
318,859,3.0
325,859,3.5
380,859,4.0
452,859,3.0
461,859,4.0
507,859,2.0
509,859,4.0
518,859,5.0
534,859,4.0
537,859,5.0
584,859,4.5
608,859,3.0
641,859,4.0
647,859,4.0
665,859,3.0
1,906,2.0
7,906,3.0
19,906,3.0
21,906,3.0
30,906,3.0
34,906,4.0
41,906,4.5
49,906,3.0
57,906,3.0
66,906,4.0
73,906,4.0
77,906,4.0
103,906,2.5
105,906,3.5
118,906,3.0
119,906,4.0
155,906,4.0
177,906,3.0
195,906,1.0
248,906,5.0
276,906,4.0
299,906,4.5
311,906,1.5
325,906,3.0
346,906,4.0
351,906,3.0
353,906,2.0
358,906,3.0
380,906,4.0
390,906,3.0
423,906,4.0
461,906,3.5
463,906,3.0
468,906,2.5
472,906,4.0
514,906,3.0
516,906,3.0
518,906,3.0
522,906,4.0
547,906,3.5
564,906,4.0
580,906,2.0
585,906,3.0
596,906,3.5
597,906,4.0
624,906,3.0
634,906,3.0
654,906,4.5
1,931,4.0
23,931,5.0
38,931,4.5
56,931,2.0
94,931,3.5
102,931,4.0
119,931,4.0
130,931,4.0
133,931,5.0
148,931,5.0
198,931,3.5
229,931,4.5
232,931,2.0
262,931,3.0
280,931,5.0
283,931,3.5
306,931,4.0
320,931,5.0
321,931,5.0
325,931,2.0
330,931,5.0
341,931,4.0
358,931,5.0
372,931,3.0
373,931,5.0
387,931,5.0
391,931,5.0
430,931,4.5
441,931,5.0
452,931,4.0
460,931,3.5
468,931,3.0
472,931,4.0
481,931,5.0
497,931,5.0
